Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y,Staff_Count,Budget
2025,10,JAGITYAL,JAGITYAL,Urban 1 ,2005012,Weeekly Bazar,7,1,0,5,1,44,5,2,34,3,41,3,0,38,0,,
2025,10,JAGITYAL,JAGITYAL,Urban 1 ,2005023,Dhobhiwada,6,0,0,4,2,46,0,0,41,5,57,0,1,51,5,,
2025,10,JAGITYAL,JAGITYAL,allipur,2005355,Bhoopathi Pur II,1,1,0,0,0,35,4,0,24,7,29,4,0,22,3,,
2025,10,NIRMAL,KHANAPUR,Mamada,1908066,Kappanpalli,1,0,1,0,0,11,2,9,0,0,15,3,10,2,0,,
2025,10,KUMARAMBHEEM-ASIFABAD,JAINOOR,Lingapur,1918051,Poolsinghtanda,3,0,3,0,0,14,0,13,0,1,17,0,17,0,0,,
2025,10,NIRMAL,KHANAPUR,Parimandal,1908241,Rayadari,2,0,2,0,0,14,0,10,4,0,29,2,16,10,1,,
2025,10,NIRMAL,KHANAPUR,Parimandal,1908280,Morriguda,1,0,1,0,0,9,0,9,0,0,10,0,9,1,0,,
2025,10,NIRMAL,KHANAPUR,Ambaripet,1908291,Kashiramtanda,0,0,0,0,0,5,1,4,0,0,11,0,11,0,0,,
2025,10,KUMARAMBHEEM-ASIFABAD,JAINOOR,Jamgaon,1917047,Nandunaiktanda,2,1,1,0,0,20,8,12,0,0,22,5,16,1,0,,
2025,10,NIRMAL,KHANAPUR,Dasturabad,1908105,Munyal,2,1,0,1,0,23,15,3,5,0,22,11,2,9,0,,
2025,10,NIRMAL,KHANAPUR,Pembi,1908223,Pembi lambaditanada-IV,2,0,2,0,0,7,0,7,0,0,7,0,7,0,0,,
2025,10,NIRMAL,KHANAPUR,Kaddampeddur,1908173,Masaipet-II,6,2,4,0,0,21,7,10,4,0,19,8,8,2,1,,
2025,10,NIRMAL,KHANAPUR,Pathayellapur,1908155,Pathayellapur -2,0,0,0,0,0,4,0,0,4,0,13,1,1,11,0,,
2025,10,JAGITYAL,JAGITYAL,urban 3,2005062,Pochammawada -2,7,0,0,6,1,24,1,0,23,0,36,0,0,36,0,,
2025,10,JAGITYAL,JAGITYAL,urban 3,2005373,"Pa,DMa Nagar (8th Ward)",1,0,0,1,0,32,1,1,27,3,42,1,0,39,2,,
2025,10,JAGITYAL,JAGITYAL,raikal,2005305,Raikal X,7,0,0,6,1,32,0,2,29,1,40,0,0,38,2,,
2025,10,JAGITYAL,JAGITYAL,kalleda,2005130,Kalleda III,4,0,0,3,1,15,1,1,13,0,25,3,0,22,0,,
2025,10,JAGITYAL,JAGITYAL,kalleda,2005148,Habsipur II,0,0,0,0,0,6,0,0,6,0,33,0,0,32,1,,
2025,10,KUMARAMBHEEM-ASIFABAD,JAINOOR,Kanchanpally,2318297,Powerguda (P),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
2025,10,RAJANNA-SIRICILLA,VEMULAWADA,Rudrangi,2016226,Dasarnayakathanda (Rudrangi),0,0,0,0,0,2,1,1,0,0,8,1,7,0,0,,
2025,10,MULUGU,ETURUNAGARAM (T),RAMACHANDRUNIPETA,2117063,Nimmagudem,0,0,0,0,0,5,0,5,0,0,8,0,8,0,0,,
2025,10,MAHABUBNAGAR,MAHABUBNAGAR (R),Ramchandrapur,1412081,Pothanpally-1,1,0,0,1,0,15,0,0,12,3,9,0,0,8,1,,
2025,10,RANGAREDDY,IBRAHIMPATANAM,Manchal,1504065,Arutla-4,4,2,1,1,0,39,15,5,17,2,39,18,4,17,0,,
2025,10,WANAPARTHY,WANAPARTHY,Kadukuntla,1419067,Peddagidem thanda,3,0,3,0,0,11,1,10,0,0,10,0,8,2,0,,
2025,10,WANAPARTHY,WANAPARTHY,Kadukuntla,1419081,Chandapur-3,4,0,0,3,1,18,0,1,10,7,8,0,0,8,0,,
2025,10,KHAMMAM,KHAMMAM (R),Mudigonda,2205069,Mudigonda - 2,0,0,0,0,0,26,13,0,7,6,26,14,0,11,1,,
2025,10,NALGONDA,DAMERCHERLA,Dilawarpur,2307185,Dilawarpur-2,2,1,1,0,0,13,2,1,10,0,4,0,1,3,0,,
2025,10,MULUGU,MULUGU,VENKATAPUR,2111206,Lambadpally,0,0,0,0,0,8,0,7,1,0,16,1,13,1,1,,
2025,10,MANCHERIAL,MANCHERIAL,HAJIPUR,2318324,Ryali-2,0,0,0,0,0,6,0,6,0,0,7,0,7,0,0,,
2025,10,MANCHERIAL,MANCHERIAL,HAJIPUR,1909111,Rapalli-I,0,0,0,0,0,9,5,0,1,3,19,14,0,2,3,,
2025,10,MANCHERIAL,MANCHERIAL,HAJIPUR,1909118,Mulkalla - I,9,0,1,7,1,36,6,4,26,0,22,3,2,17,0,,
2025,10,MANCHERIAL,MANCHERIAL,POCHAM BASTHI,1909211,Gandderagadi,4,0,0,4,0,43,11,2,29,1,67,15,3,47,2,,
2025,10,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909132,Cabin Area-I,1,0,0,1,0,11,3,1,7,0,2,0,1,1,0,,
2025,10,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909218,Rajiv Nagar - I,4,2,1,1,0,37,6,1,18,12,14,4,1,5,4,,
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,Yellandulapadu,2215308,Civil Line area,1,0,0,0,1,16,8,4,4,0,15,9,4,2,0,,
2025,10,NIRMAL,NIRMAL,Narsapur-G,1912283,THIMMAPUR,5,1,0,3,1,24,5,0,18,1,24,5,0,17,2,,
2025,10,NIRMAL,NIRMAL,Wadyal,1912176,KASIGUDA,2,0,0,0,2,11,0,0,3,8,9,0,0,2,7,,
2025,10,NIRMAL,NIRMAL,Wadyal,1912183,RACHAPUR-I,9,1,0,8,0,39,10,0,28,1,40,9,0,31,0,,
2025,10,MANCHERIAL,MANCHERIAL,naspur,1909125,Thallapally-I,14,4,0,9,1,101,20,9,67,5,76,22,2,48,4,,
2025,10,MANCHERIAL,MANCHERIAL,RAMAN COLONY,1910004,SR Colony,2,0,0,2,0,25,0,0,25,0,26,3,0,21,2,,
2025,10,MANCHERIAL,MANCHERIAL,RAMAN COLONY,1910011,Ramancolony-1,5,0,1,4,0,12,3,1,7,1,30,3,0,27,0,,
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,Ragaboinagudem,2215022,Narayanapuram,2,0,2,0,0,17,0,17,0,0,15,0,15,0,0,,
2025,10,BHADRADRI-KOTHAGUDEM,YELLANDU,Sudimalla,2215029,Sudimalla -II,0,0,0,0,0,12,4,8,0,0,12,1,11,0,0,,
2025,10,MULUGU,MULUGU,Kodeshalakunta,2111213,Ravojithanda,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,,
2025,10,NIRMAL,NIRMAL,Sarangapur,1912169,NAGAPUR,4,0,4,0,0,20,0,19,1,0,14,1,13,0,0,,
2025,10,MULUGU,MULUGU,Mulugu,2111006,Gadigadda,9,5,0,2,2,45,9,4,21,11,57,10,5,29,13,,
2025,10,NIZAMABAD,ARMOOR,Degoan,1801165,Aloor-4,4,0,0,3,1,24,0,7,14,3,20,0,0,17,3,,
2025,10,HANMAKONDA,BHEEMADEVARA PALLY,Bheemadevarapally,2001002,Bheemadevarapally-2,0,0,0,0,0,13,0,0,13,0,21,1,0,20,0,,
2025,10,HANMAKONDA,BHEEMADEVARA PALLY,Bheemadevarapally,2001009,Mulkanur-4,5,0,0,5,0,17,0,0,16,1,32,0,1,26,5,,
2025,10,WARANGAL,NARSAMPET,MANGALAVARIPET,2105097,Budharaopeta-III,2,0,0,1,1,6,0,0,5,1,9,0,1,3,5,,
2025,10,WARANGAL,NARSAMPET,MANGALAVARIPET,2105104,Marnakiboduthanda,0,0,0,0,0,6,0,6,0,0,7,0,7,0,0,,
2025,10,WARANGAL,NARSAMPET,MANGALAVARIPET,2105111,Manubothulagadha,1,0,0,1,0,9,0,0,9,0,12,0,0,12,0,,
2025,10,KAMAREDDY,BANSWADA,Birkur,1802158,Bhirkoor - T,4,0,4,0,0,8,0,8,0,0,13,0,13,0,0,,
2025,10,WARANGAL,NARSAMPET,DHABEERPETA,2105211,Ashoknagar -IV,2,0,1,1,0,20,4,2,13,1,18,4,1,13,0,,
2025,10,WARANGAL,NARSAMPET,DUGGONDI,2112192,Laxmipuram,0,0,0,0,0,8,3,0,5,0,6,3,0,3,0,,
