Model,MSE,R2,Adj R2
OLS,7075779.165648597,0.6890075741081949,1.6219848517836102
Tuned Lasso,22754354.235022068,-9.223825208559688e-05,3.000184476504171
Tuned Ridge,13813385.912506813,0.39287839626685106,2.214243207466298
Tuned ElasticNet,13245219.443431322,0.41785027065575053,2.164299458688499
