Feature,OLS,Lasso,Ridge,ElasticNet
Intercept,8705.26945616079,8391.283121447843,8426.618595648113,8429.037794673439
total_no_of_active_workers,-20410.65256145614,0.0,320.31167872529426,346.2645033025322
average_wage_rate_per_day_per_person,-2144.0713233403962,0.0,193.81410483932885,211.31981154381194
Tot_Children_0to6M,-2223.5951179770946,0.0,105.58261808680653,110.17620876207313
Tot_Children_7Mto3Y,3150.9749490679455,0.0,128.00586892736115,135.7087490649362
Tot_Children_3Yto6Y,-1012.76786946234,0.0,63.203638678710405,64.022593244625
worker_wage_interaction,24923.918570900172,0.0,343.5925890303273,372.0258666926366
