state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
11,24,GUJARAT,1107,449.0,KACHCHH,99446,157552,33972,57419,4050,134,800000,590988,23344,1057,231552,44,256.088364856816,33,13284,17630,12,27,8903,5496,3407,30.15,85,19.28,1690.4615757,1513.4515057,3.0615,173.94857,KACHCHH,,
11,24,GUJARAT,1108,441.0,BANAS KANTHA,250086,420271,79392,146055,34465,19188,2800000,1928915,483032,222089,1110075,47,256.524475624898,359,40522,54169,466,68,12130,6426,5704,65.13,80,22.29,6048.054172634,4948.139089,837.493083633999,262.422,BANAS KANTHA,,
11,24,GUJARAT,1109,458.0,SABAR KANTHA,185493,360713,70678,150928,23033,61775,2300000,1141613,148481,442078,574611,37,262.641548431911,121,30437,43769,100,33,15167,10398,4769,54.13,87,36.29,4380.57312790499,2998.35006029999,1110.755787605,271.46728,SABAR KANTHA,,
11,24,GUJARAT,1110,451.0,MAHESANA,117083,180853,30065,49010,4277,87,950000,370251,20376,450,125326,41,280.041607504099,5,8882,11822,161,49,6834,4080,2754,26.62,82,25.97,1217.861578006,1036.8568522,83.776095806,97.22863,MAHESANA,,
11,24,GUJARAT,1111,446.0,GANDHINAGAR,45753,61920,12888,17970,531,12,400000,129867,2905,12,36484,37,279.586196878345,1,3448,3793,5,21,3446,2120,1326,27.08,75,20.46,635.239310965,363.0902063,193.611404665,78.5377,GANDHINAGAR,,
11,24,GUJARAT,1112,438.0,AHMADABAD,75878,144911,15043,30169,2509,629,500000,286330,9540,1975,117098,47,249.032643942303,4,6076,10764,7,38,3611,2301,1310,68.06,76,14.29,951.851282736996,713.055169399996,138.635213337,100.1609,AHMADABAD,,
11,24,GUJARAT,1113,450.0,KHEDA,184401,346152,38930,78219,1573,360,700000,560794,5637,747,180695,43,279.155307118122,9,12792,15841,15,37,16758,10540,6218,6.66,93,6.42,1807.935258452,1565.486213,138.432365452,104.01668,KHEDA,,
11,24,GUJARAT,1114,454.0,PANCH MAHALS,374589,647000,154397,288592,9749,51512,5600000,3363808,74690,454188,1431013,42,276.287119737512,395,78550,106316,403,15,79874,57464,22410,25.15,78,29.01,14719.748217964,9293.76823669999,4836.50799126399,589.47199,PANCH MAHALS,,
11,24,GUJARAT,1115,461.0,VADODARA,137758,253965,17587,34138,2370,7723,400000,224476,9715,31031,98422,42,282.804839804701,77,5274,7160,11,37,5141,2817,2324,47.77,84,46.3,745.695756454001,634.8289922,19.998284254,90.86848,VADODARA,,
11,24,GUJARAT,1116,442.0,BHARUCH,148286,283440,23116,49274,1619,38630,550000,156881,3734,127555,80537,25,249.374800007649,10,6157,7898,20,59,6019,3939,2080,39.15,67,26.01,497.98061,391.22168,7.72327,99.03566,BHARUCH,,
11,24,GUJARAT,1117,459.0,SURAT,196703,428262,64576,163350,1568,154200,1500000,1012116,6713,967866,491625,38,287.552223974327,158,26028,36383,65,1,18219,5571,12648,50.02,82,22.6,4920.47273294201,2910.3620672,1775.20975574201,234.90091,SURAT,,
11,24,GUJARAT,1118,462.0,VALSAD,234539,490355,55903,124677,1331,110898,1300000,647050,6428,542936,375214,31,277.647395409937,51,20591,25633,7,15,11796,5238,6558,51.87,92,36.16,2182.750796368,1796.517472,180.180734368,206.05259,VALSAD,,
11,24,GUJARAT,1119,444.0,DANG,54591,100265,33290,62390,104,60678,1350000,838207,1347,811052,394202,41,305.417526517912,54,20239,31301,152,0,8267,2824,5443,84.95,86,79.93,2758.3346696,2560.0310865,80.5134431000004,117.79014,DANG,,
11,24,GUJARAT,1120,455.0,PATAN,242943,562292,39098,101283,9897,1957,850000,618588,53301,9593,216655,43,244.368221869806,81,14085,21423,151,10,10903,5041,5862,43.21,95,24.74,2223.78033359,1511.6324963,534.24841729,177.89942,PATAN,,
11,24,GUJARAT,1121,456.0,PORBANDAR,34647,73880,8495,19068,4373,954,250000,141216,34029,6175,73186,43,227.202317371969,60,3262,4719,4,6,1296,643,653,38.9,75,22.44,580.28835378,320.8460245,206.34788928,53.09444,PORBANDAR,,
11,24,GUJARAT,1122,440.0,ANAND,62213,93835,22889,39216,2504,565,550000,170350,6988,1310,84470,28,255.92143780452,2,6049,7605,12,34,2940,1151,1789,27.85,87,34.17,664.767599442,435.9621693,117.612660142,111.19277,ANAND,,
11,24,GUJARAT,1123,445.0,DOHAD,637278,1351030,303133,637802,5725,432160,11000000,3082551,23763,2147840,1392916,43,261.998394449918,644,70659,91706,1450,54,63637,60537,3100,90.48,69,90.73,8469.7826780999,8076.2341280999,0.0,393.54855,DOHAD,,
11,24,GUJARAT,1124,452.0,NARMADA,123908,241357,91092,188451,3561,171699,3400000,1423488,28686,1290944,787733,26,264.185748246561,159,54428,82554,432,0,14076,8227,5849,75.23,85,38.1,3925.723144,3760.652424,15.13937,149.93135,NARMADA,,
11,24,GUJARAT,1125,453.0,NAVSARI  ,144257,213613,63913,101563,767,74745,1400000,947924,7295,644910,682594,28,263.907966282108,43,32912,37085,10,2,17091,9295,7796,70.04,85,65.1,2961.90380810001,2501.64695030001,259.162547799999,201.09431,NAVSARI,,
11,24,GUJARAT,1126,641.0,TAPI,214280,445644,88862,206456,1897,196316,1500000,977036,10729,926905,532691,30,265.307299976664,80,31723,44340,462,0,15073,7846,7227,46.74,88,19.61,3169.766009435,2592.1478314,408.045778034999,169.5724,TAPI,,
11,24,GUJARAT,1127,673.0,Morbi,42001,81423,6988,13761,1171,17,200000,116991,7820,298,52035,41,253.227783675667,22,2845,4264,2,17,1541,1028,513,48.2,69,41.38,377.0307209,296.2537164,19.9553545,60.82165,MORBI,,
11,24,GUJARAT,1128,676.0,Botad,54998,124994,17855,41915,1605,47,450000,310073,12241,347,143543,39,262.828413244624,1,7916,15807,26,2,2241,1049,1192,74.44,77,9.99,940.608655204002,814.959945800002,51.739069404,73.90964,BOTAD,,
11,24,GUJARAT,1129,668.0,Chhotaudepur,264016,510943,71448,141018,2846,120067,1900000,1248645,16886,1066989,495697,40,278.044802750182,52,30744,42359,255,15,15592,6859,8733,40.99,78,29.97,4225.21542415301,3471.79252730001,550.468306853,202.95459,CHHOTAUDEPUR,,
11,24,GUJARAT,1130,672.0,ARVALLI,160549,317111,79438,163928,7158,48822,3300000,2152615,70257,589040,1046252,46,237.218540073352,1006,46391,69932,518,14,14315,7077,7238,56.64,78,47.57,5718.29905454698,5106.40187639998,430.508318147,181.38886,ARVALLI,,
11,24,GUJARAT,1131,675.0,GIR SOMNATH,54446,122200,21775,54824,5932,742,500000,227991,32310,3699,119218,36,273.02285252488,19,6218,11480,43,26,2929,1719,1210,71.86,86,37.1,876.680369175,622.4675317,171.007437475,83.2054,GIR SOMNATH,,
11,24,GUJARAT,1132,674.0,DEVBHUMI DWARKA,52179,102284,12597,23969,2251,527,350000,109608,6137,914,37883,43,259.757906083498,2,2531,3652,6,16,3060,1262,1798,22.33,89,7.63,367.5130137,284.7154457,36.714568,46.083,DEVBHUMI DWARKA,,
11,24,GUJARAT,1133,669.0,MAHISAGAR,180072,378938,80279,175574,6725,68360,1500000,1676720,48677,576310,695066,43,258.932447391335,80,38440,57988,686,3,25518,17497,8021,22.49,93,12.01,4729.21694725,4341.5721319,244.15608535,143.48873,MAHISAGAR,,
12,6,HARYANA,1201,58.0,AMBALA,43856,60916,9822,16323,9969,0,155200,74071,42056,0,46715,26,401.686667251691,0,2744,3559,2,234,1136,998,138,47.11,59,25.61,355.1780413,297.5333313,0.60923,57.03548,AMBALA,,
12,6,HARYANA,1202,76.0,YAMUNANAGAR,71315,103531,12970,23480,9618,0,300000,95905,34603,0,44295,26,416.53548407278,2,3555,4535,1,269,709,459,250,64.96,13,47.3,505.042229,399.478356,62.7226930000001,42.84118,YAMUNANAGAR,,
12,6,HARYANA,1203,68.0,KURUKSHETRA,84985,151086,24481,54291,20648,0,450044,361295,128381,0,242435,32,394.012310438838,1,11165,15434,14,48,4867,4163,704,43.49,73,27.62,1764.3291681,1423.546777,283.0720111,57.71038,KURUKSHETRA,,
12,6,HARYANA,1204,66.0,KAITHAL,89432,151875,36780,76389,37488,0,650020,441751,214786,0,328766,23,401.751679135984,1,18856,23939,56,15,4911,4025,886,72.58,57,70.91,1843.8938033,1774.7420601,13.2463832,55.90536,KAITHAL,,
12,6,HARYANA,1205,67.0,KARNAL,122153,206248,43389,90033,50166,0,750010,414331,235139,0,301709,24,389.102766869966,5,16900,21588,32,26,5901,5426,475,58.7,78,39.43,1818.4303362,1612.173385,137.1865012,69.07045,KARNAL,,
12,6,HARYANA,1206,71.0,PANIPAT,57695,89870,17832,33677,16274,0,450324,278997,124457,0,183023,29,397.623851510948,2,9421,12701,12,6,3436,3214,222,44.61,83,27.86,1381.291405,1109.358617,215.697198,56.23559,PANIPAT,,
12,6,HARYANA,1207,75.0,SONIPAT,48036,70271,15276,25126,13199,0,420015,239022,125642,0,160465,29,414.947513869016,4,8145,10192,11,85,2118,2014,104,73.07,70,65.1,1199.08113628,991.8158466,148.13798968,59.1273,SONIPAT,,
12,6,HARYANA,1208,73.0,ROHTAK,48831,79117,21725,39492,21483,0,600000,284825,146728,0,177553,27,406.886693127359,3,10351,12865,3,16,1798,1590,208,85.38,54,66.99,1338.1462428,1158.9150237,140.2882191,38.943,ROHTAK,,
12,6,HARYANA,1209,60.0,FARIDABAD,9130,10130,2119,2577,754,0,80100,10696,1967,0,6965,28,388.686798803291,0,374,422,0,67,135,119,16,39.25,21,5.81,70.1800957,41.57394,11.0073457,17.59881,FARIDABAD,,
12,6,HARYANA,1210,62.0,GURUGRAM,14586,18802,2539,3261,1666,0,77325,26967,16323,0,20188,37,404.747246634776,4,713,748,0,111,179,116,63,52.79,1,38.8,169.5420412,109.14819,42.9209912,17.47286,GURUGRAM,,
12,6,HARYANA,1211,72.0,REWARI,44107,82308,7348,13481,8654,0,200100,63608,42687,0,47746,22,403.246834517671,0,2766,3279,0,221,445,353,92,68.11,5,46.7,474.4536755,256.4972465,177.142899,40.81353,REWARI,,
12,6,HARYANA,1212,69.0,MAHENDRAGARH,67711,95919,15698,25950,8389,0,500072,135218,45245,0,77063,27,371.190311792809,2,4853,6172,2,48,2145,1935,210,46.54,48,15.5,812.3687964,501.916115800001,257.7632106,52.68947,MAHENDRAGARH,,
12,6,HARYANA,1213,59.0,BHIWANI,92489,177856,35031,74611,41027,0,850261,358549,187003,0,239530,21,389.473031970525,0,16469,21004,19,73,2011,1575,436,68.73,29,56.01,1730.8310163,1396.4516614,281.9424849,52.43687,BHIWANI,,
