state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
ODISHA,CUTTACK,203545,31381,1445700,3128.890877781,2511.392661,0.4638039465888894,0.4067076013687047,0.1451288343558282,29
ODISHA,DHENKANAL,246368,66737,3593300,9065.97115554198,7596.51277429998,0.6966219062887907,0.6767497200447928,0.2987408610885459,42
ODISHA,KANDHAMAL,255662,125075,7722500,21463.8518317132,16824.6705040002,0.910895675007393,0.9126316840874505,0.35289192771924927,54
ODISHA,BOLANGIR,442198,122182,7998000,17836.47491769,15004.2836479,0.7488319557269308,0.7139429469173424,0.28419302408130476,42
ODISHA,KALAHANDI,413753,139348,7415900,29799.948609765,20138.2350711,0.7670060933673687,0.7265634273651521,0.27321713924709207,49
ODISHA,KORAPUT,340142,128967,7467400,23034.654083497,17369.3346015,0.8263455306081794,0.8007834598183312,0.3307552465395165,49
ODISHA,GANJAM,571094,177431,12884000,23616.194516572,19228.2958451,0.8563887935003142,0.8471096646723488,0.2463787840491513,46
ODISHA,PURI,232177,44601,1448700,4033.781217922,3477.924034,0.5351870804750314,0.48685975648707697,0.35532021027589117,27
ODISHA,BARGARH,252371,64109,3247300,9062.70162959201,8229.51353810001,0.656781712096686,0.6016498799223905,0.25000982125319193,45
ODISHA,JHARSUGUDA,94105,25441,1184900,3657.98762419999,3321.26709539999,0.7328079615627214,0.6817889185672215,0.29898058930316995,47
ODISHA,DEOGARH,92144,29478,1178200,4644.125413923,3384.5803309,0.7349706072377185,0.7083087884653146,0.24504391468005018,41
ODISHA,BHADRAK,206040,44901,2039500,4911.11878590001,3756.45325150001,0.47583965930951977,0.4370163158280418,0.34980537358777175,30
ODISHA,KENDRAPARA,207880,35151,1500400,2711.149389891,2483.5639177,0.5369203788506887,0.4823592382913021,0.28110230747845427,26
ODISHA,JAGATSINGHAPUR,139670,37511,1197000,4070.075324846,3278.8201265,0.5827547648452885,0.5441516562978405,0.25954967268541834,30
ODISHA,JAJPUR,199999,43779,1879600,4587.687929503,4144.4294608,0.567875680034527,0.5244703263668434,0.39638600538254515,35
ODISHA,ANGUL,238309,59443,2539800,8123.58611657601,7156.32863180001,0.6984601045745504,0.6582919097194251,0.2408478547371504,44
ODISHA,NAYAGARH,213047,38687,1824500,4747.860621801,3680.2729969,0.6338609383832674,0.608339049090186,0.2763743065425703,34
ODISHA,KHORDHA,122264,26993,1102200,3088.712284854,2691.7861264,0.56354283817917,0.5101828981861712,0.3376261285183218,36
ODISHA,GAJAPATI,176747,54590,2881700,8100.977680264,6697.0383401,0.8074953285545245,0.7709012299176233,0.3199750906626616,45
ODISHA,BOUDH,132315,35155,1673600,4288.591069844,3659.8933623,0.7556409656031021,0.7236002552241186,0.3709419904204364,37
ODISHA,SONEPUR,132185,33461,1609300,4312.509666659,3629.2355303,0.6327638450749398,0.6131453245602936,0.19717427616926503,39
ODISHA,NUAPADA,207656,62439,4224900,12244.438416952,10636.7497835,0.8661319452265058,0.8289144031289991,0.3539037381832142,58
