Model,MSE,Adj R2
OLS,7075779.165648597,1.6219848517836102
Tuned Lasso,2758509.130236474,1.2424822556423856
Tuned Ridge,4196652.7647302775,1.3688999312655585
Tuned ElasticNet,3877448.622518911,1.3408408106465997
