Feature,OLS,Lasso,Ridge,ElasticNet
Intercept,8983.922835008942,8922.173604026488,8468.45537962713,8474.260308763294
total_no_of_active_workers,1138.0819523201083,895.5370404402546,17.67852728924173,34.33791894163946
average_wage_rate_per_day_per_person,1817.8136744551384,1818.0447786077852,11.390049819880295,22.04379553667528
Tot_Children_0to6M,-2092.1375722101716,-693.6580414433602,9.070574877860711,17.221966143099092
Tot_Children_7Mto3Y,2418.6054830098765,358.4332285678316,8.78656274106926,16.709941210721762
Tot_Children_3Yto6Y,-639.7183064680786,-0.1576900875068551,4.805089633316178,8.801127017405467
worker_wage_interaction,1932.9183389708373,2023.9288842287233,19.05873787639057,37.074441262195904
