Model,MSE,Adj R2
OLS (No Reg),26607621.760562263,-1.0851891272587917
Lasso (L1=100),19171665.641474597,-0.5024472726945064
Ridge (L2=100),12819622.963743472,-0.004649669936909628
Elastic Net,12747235.255559899,0.0010232182080690544
