Feature,OLS,Lasso,Ridge,ElasticNet
Intercept,8705.26945616079,8448.6118232062,8485.899170268645,8494.756527522544
total_no_of_active_workers,-20410.65256145614,0.0,1109.1488022563283,1344.2009445504666
average_wage_rate_per_day_per_person,-2144.0713233403962,902.9538605870836,833.7384828421165,1039.2946213038201
Tot_Children_0to6M,-2223.5951179770946,-303.08551805016725,9.980117361043641,-270.2083221789465
Tot_Children_7Mto3Y,3150.9749490679455,0.0,308.3400094312476,482.551334021093
Tot_Children_3Yto6Y,-1012.76786946234,-0.0,-89.81937702804905,-199.28420093077233
worker_wage_interaction,24923.918570900172,3612.3204940072305,1269.5998531270402,1684.0844285682278
